code,description
S58029A,"partial traumatic amputation at elbow level, unspecified arm, initial encounter"
S58029D,"partial traumatic amputation at elbow level, unspecified arm, subsequent encounter"
S58029S,"partial traumatic amputation at elbow level, unspecified arm, sequela"
S58119A,"complete traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter"
S58119D,"complete traumatic amputation at level between elbow and wrist, unspecified arm, subsequent encounter"
S58119S,"complete traumatic amputation at level between elbow and wrist, unspecified arm, sequela"
S58129A,"partial traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter"
S58129D,"partial traumatic amputation at level between elbow and wrist, unspecified arm, subsequent encounter"
S58129S,"partial traumatic amputation at level between elbow and wrist, unspecified arm, sequela"
S58911A,"complete traumatic amputation of right forearm, level unspecified, initial encounter"
S58911D,"complete traumatic amputation of right forearm, level unspecified, subsequent encounter"
S58911S,"complete traumatic amputation of right forearm, level unspecified, sequela"
S58912A,"complete traumatic amputation of left forearm, level unspecified, initial encounter"
S58912D,"complete traumatic amputation of left forearm, level unspecified, subsequent encounter"
S58912S,"complete traumatic amputation of left forearm, level unspecified, sequela"
S58919A,"complete traumatic amputation of unspecified forearm, level unspecified, initial encounter"
S58919D,"complete traumatic amputation of unspecified forearm, level unspecified, subsequent encounter"
S58919S,"complete traumatic amputation of unspecified forearm, level unspecified, sequela"
S58921A,"partial traumatic amputation of right forearm, level unspecified, initial encounter"
S58921D,"partial traumatic amputation of right forearm, level unspecified, subsequent encounter"
S58921S,"partial traumatic amputation of right forearm, level unspecified, sequela"
S58922A,"partial traumatic amputation of left forearm, level unspecified, initial encounter"
S58922D,"partial traumatic amputation of left forearm, level unspecified, subsequent encounter"
S58922S,"partial traumatic amputation of left forearm, level unspecified, sequela"
S58929A,"partial traumatic amputation of unspecified forearm, level unspecified, initial encounter"
S58929D,"partial traumatic amputation of unspecified forearm, level unspecified, subsequent encounter"
S58929S,"partial traumatic amputation of unspecified forearm, level unspecified, sequela"
S59001A,"unspecified physeal fracture of lower end of ulna, right arm, initial encounter for closed fracture"
S59001S,"unspecified physeal fracture of lower end of ulna, right arm, sequela"
S59002A,"unspecified physeal fracture of lower end of ulna, left arm, initial encounter for closed fracture"
S59002S,"unspecified physeal fracture of lower end of ulna, left arm, sequela"
S59009A,"unspecified physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59009S,"unspecified physeal fracture of lower end of ulna, unspecified arm, sequela"
S59019A,"salter-harris type i physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59019S,"salter-harris type i physeal fracture of lower end of ulna, unspecified arm, sequela"
S59029A,"salter-harris type ii physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59029S,"salter-harris type ii physeal fracture of lower end of ulna, unspecified arm, sequela"
S59039A,"salter-harris type iii physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59039S,"salter-harris type iii physeal fracture of lower end of ulna, unspecified arm, sequela"
S59049A,"salter-harris type iv physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59049S,"salter-harris type iv physeal fracture of lower end of ulna, unspecified arm, sequela"
S59099A,"other physeal fracture of lower end of ulna, unspecified arm, initial encounter for closed fracture"
S59099S,"other physeal fracture of lower end of ulna, unspecified arm, sequela"
S59101A,"unspecified physeal fracture of upper end of radius, right arm, initial encounter for closed fracture"
S59101S,"unspecified physeal fracture of upper end of radius, right arm, sequela"
S59102A,"unspecified physeal fracture of upper end of radius, left arm, initial encounter for closed fracture"
S59102S,"unspecified physeal fracture of upper end of radius, left arm, sequela"
S59109A,"unspecified physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59109S,"unspecified physeal fracture of upper end of radius, unspecified arm, sequela"
S59119A,"salter-harris type i physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59119S,"salter-harris type i physeal fracture of upper end of radius, unspecified arm, sequela"
S59129A,"salter-harris type ii physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59129S,"salter-harris type ii physeal fracture of upper end of radius, unspecified arm, sequela"
S59139A,"salter-harris type iii physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59139S,"salter-harris type iii physeal fracture of upper end of radius, unspecified arm, sequela"
S59149A,"salter-harris type iv physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59149S,"salter-harris type iv physeal fracture of upper end of radius, unspecified arm, sequela"
S59199A,"other physeal fracture of upper end of radius, unspecified arm, initial encounter for closed fracture"
S59199S,"other physeal fracture of upper end of radius, unspecified arm, sequela"
S59201A,"unspecified physeal fracture of lower end of radius, right arm, initial encounter for closed fracture"
S59201S,"unspecified physeal fracture of lower end of radius, right arm, sequela"
S59202A,"unspecified physeal fracture of lower end of radius, left arm, initial encounter for closed fracture"
S59202S,"unspecified physeal fracture of lower end of radius, left arm, sequela"
S59209A,"unspecified physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59209S,"unspecified physeal fracture of lower end of radius, unspecified arm, sequela"
S59219A,"salter-harris type i physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59219S,"salter-harris type i physeal fracture of lower end of radius, unspecified arm, sequela"
S59229A,"salter-harris type ii physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59229S,"salter-harris type ii physeal fracture of lower end of radius, unspecified arm, sequela"
S59239A,"salter-harris type iii physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59239S,"salter-harris type iii physeal fracture of lower end of radius, unspecified arm, sequela"
S59249A,"salter-harris type iv physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59249S,"salter-harris type iv physeal fracture of lower end of radius, unspecified arm, sequela"
S59299A,"other physeal fracture of lower end of radius, unspecified arm, initial encounter for closed fracture"
S59299S,"other physeal fracture of lower end of radius, unspecified arm, sequela"
S59809A,"other specified injuries of unspecified elbow, initial encounter"
S59809D,"other specified injuries of unspecified elbow, subsequent encounter"
S59809S,"other specified injuries of unspecified elbow, sequela"
S59819A,"other specified injuries unspecified forearm, initial encounter"
S59819D,"other specified injuries unspecified forearm, subsequent encounter"
S59819S,"other specified injuries unspecified forearm, sequela"
S59901A,"unspecified injury of right elbow, initial encounter"
S59901D,"unspecified injury of right elbow, subsequent encounter"
S59901S,"unspecified injury of right elbow, sequela"
S59902A,"unspecified injury of left elbow, initial encounter"
S59902D,"unspecified injury of left elbow, subsequent encounter"
S59902S,"unspecified injury of left elbow, sequela"
S59909A,"unspecified injury of unspecified elbow, initial encounter"
S59909D,"unspecified injury of unspecified elbow, subsequent encounter"
S59909S,"unspecified injury of unspecified elbow, sequela"
S59911A,"unspecified injury of right forearm, initial encounter"
S59911D,"unspecified injury of right forearm, subsequent encounter"
S59911S,"unspecified injury of right forearm, sequela"
S59912A,"unspecified injury of left forearm, initial encounter"
S59912D,"unspecified injury of left forearm, subsequent encounter"
S59912S,"unspecified injury of left forearm, sequela"
S59919A,"unspecified injury of unspecified forearm, initial encounter"
S59919D,"unspecified injury of unspecified forearm, subsequent encounter"
